14.0130 	EXP 	grating: ori = -2.0
14.0130 	EXP 	fixation: autoDraw = True
14.5153 	INFO 	Keyboard events cleared
14.5144 	EXP 	fixation: autoDraw = False
14.5144 	EXP 	grating: autoDraw = True
14.8290 	EXP 	grating: autoDraw = False
14.9525 	DATA 	Keypress: left
14.9634 	EXP 	fixation: autoDraw = False
14.9634 	EXP 	grating: autoDraw = False
14.9634 	EXP 	grating: ori = 2.0
14.9634 	EXP 	fixation: autoDraw = True
15.4646 	INFO 	Keyboard events cleared
15.4636 	EXP 	fixation: autoDraw = False
15.4636 	EXP 	grating: autoDraw = True
15.7635 	EXP 	grating: autoDraw = False
16.0063 	DATA 	Keypress: right
16.0134 	EXP 	fixation: autoDraw = False
16.0134 	EXP 	grating: autoDraw = False
16.0134 	EXP 	grating: ori = 1.0
16.0134 	EXP 	fixation: autoDraw = True
16.5142 	INFO 	Keyboard events cleared
16.5134 	EXP 	fixation: autoDraw = False
16.5134 	EXP 	grating: autoDraw = True
16.8132 	EXP 	grating: autoDraw = False
17.6032 	DATA 	Keypress: right
17.6131 	EXP 	fixation: autoDraw = False
17.6131 	EXP 	grating: autoDraw = False
17.6131 	EXP 	grating: ori = -1.0
17.6131 	EXP 	fixation: autoDraw = True
18.1139 	INFO 	Keyboard events cleared
18.1133 	EXP 	fixation: autoDraw = False
18.1133 	EXP 	grating: autoDraw = True
18.4133 	EXP 	grating: autoDraw = False
18.7366 	DATA 	Keypress: left
18.7467 	EXP 	fixation: autoDraw = False
18.7467 	EXP 	grating: autoDraw = False
18.7467 	EXP 	grating: ori = 1.0
18.7467 	EXP 	fixation: autoDraw = True
19.2480 	INFO 	Keyboard events cleared
19.2472 	EXP 	fixation: autoDraw = False
19.2472 	EXP 	grating: autoDraw = True
19.5626 	EXP 	grating: autoDraw = False
19.9024 	DATA 	Keypress: left
19.9133 	EXP 	fixation: autoDraw = False
19.9133 	EXP 	grating: autoDraw = False
19.9133 	EXP 	grating: ori = -1.5
19.9133 	EXP 	fixation: autoDraw = True
20.4145 	INFO 	Keyboard events cleared
20.4135 	EXP 	fixation: autoDraw = False
20.4135 	EXP 	grating: autoDraw = True
20.7139 	EXP 	grating: autoDraw = False
21.1349 	DATA 	Keypress: left
21.1464 	EXP 	fixation: autoDraw = False
21.1464 	EXP 	grating: autoDraw = False
21.1464 	EXP 	grating: ori = 1.5
21.1464 	EXP 	fixation: autoDraw = True
21.6478 	INFO 	Keyboard events cleared
21.6469 	EXP 	fixation: autoDraw = False
21.6469 	EXP 	grating: autoDraw = True
21.9466 	EXP 	grating: autoDraw = False
22.2208 	DATA 	Keypress: right
22.2296 	EXP 	fixation: autoDraw = False
22.2296 	EXP 	grating: autoDraw = False
22.2296 	EXP 	grating: ori = 1.5
22.2296 	EXP 	fixation: autoDraw = True
22.7299 	INFO 	Keyboard events cleared
22.7294 	EXP 	fixation: autoDraw = False
22.7294 	EXP 	grating: autoDraw = True
23.0292 	EXP 	grating: autoDraw = False
23.4876 	DATA 	Keypress: right
23.4966 	EXP 	fixation: autoDraw = False
23.4966 	EXP 	grating: autoDraw = False
23.4966 	EXP 	grating: ori = 1.0
23.4966 	EXP 	fixation: autoDraw = True
23.9974 	INFO 	Keyboard events cleared
23.9966 	EXP 	fixation: autoDraw = False
23.9966 	EXP 	grating: autoDraw = True
24.2966 	EXP 	grating: autoDraw = False
24.5677 	DATA 	Keypress: left
24.5792 	EXP 	fixation: autoDraw = False
24.5792 	EXP 	grating: autoDraw = False
24.5792 	EXP 	grating: ori = 1.5
24.5792 	EXP 	fixation: autoDraw = True
25.0806 	INFO 	Keyboard events cleared
25.0798 	EXP 	fixation: autoDraw = False
25.0798 	EXP 	grating: autoDraw = True
25.3793 	EXP 	grating: autoDraw = False
25.6541 	DATA 	Keypress: left
25.6631 	EXP 	fixation: autoDraw = False
25.6631 	EXP 	grating: autoDraw = False
25.6631 	EXP 	grating: ori = 2.0
